main_category_en,main_category_am,sub_category_en,sub_category_am,starting_price_etb,notes
Plumbing,ቧንቧ ሥራ,,,,
Plumbing,ቧንቧ ሥራ,,,,
Plumbing,ቧንቧ ሥራ,,,,
Electrical,ኤሌክትሪክ,,,,
Electrical,ኤሌክትሪክ,,,,
Electrical,ኤሌክትሪክ,,,,
Carpentry,አናጢነት,,,,
Carpentry,አናጢነት,,,,
Carpentry,አናጢነት,,,,
Painting,ቀለም ቅብ,,,,
Painting,ቀለም ቅብ,,,,
Painting,ቀለም ቅብ,,,,
AC & Refrigeration,ኤሲ እና ማቀዝቀዣ,,,,
AC & Refrigeration,ኤሲ እና ማቀዝቀዣ,,,,
AC & Refrigeration,ኤሲ እና ማቀዝቀዣ,,,,
Locksmith,ቁልፍ ሠራተኛ,,,,
Locksmith,ቁልፍ ሠራተኛ,,,,
Locksmith,ቁልፍ ሠራተኛ,,,,
General Handyman,አጠቃላይ ጥገና,,,,
General Handyman,አጠቃላይ ጥገና,,,,
General Handyman,አጠቃላይ ጥገና,,,,
